"text","author"
"And then-then, when, poring over forbidden pages, I felt a forbidden spirit enkindling within me-would Morella place her cold hand upon my own, and rake up from the ashes of a dead philosophy some low, singular words, whose strange meaning burned themselves in upon my memory.","EAP"
"The author is likewise responsible for the omission of the following couplet after line 26: ""Around his greatness pour disheart'ning woes, But still he tow'rs above his conquering foes.""","HPL"
"While hampered by some of the heaviness natural to authors of school age, Mr. Bradley has managed to put into his lines a laudable enthusiasm and genuine warmth.","HPL"
"I have an affection for it, for it was the offspring of happy days, when death and grief were but words, which found no true echo in my heart.","MWS"
"He has on rare occasions whispered disjointed and irresponsible things about ""the black pit"", ""the carven rim"", ""the proto-shoggoths"", ""the windowless solids with five dimensions"", ""the nameless cylinder"", ""the elder pharos"", ""Yog-Sothoth"", ""the primal white jelly"", ""the colour out of space"", ""the wings"", ""the eyes in darkness"", ""the moon-ladder"", ""the original, the eternal, the undying"", and other bizarre conceptions; but when he is fully himself he repudiates all this and attributes it to his curious and macabre reading of earlier years.","HPL"
"No word of comment followed; each reader made his own fearful one.","MWS"
"""And yet,"" cried Clara, ""you talk of their dying also.","MWS"
"""Al Aaraaf"" first appeared, with the sonnet ""To Silence"" prefixed to it, in 1829, and is, substantially, as originally issued.","EAP"
"Having filled my pockets with the flashlight's aid, I put on my hat and tiptoed to the windows to consider chances of descent.","HPL"
"My journey had been my own suggestion, and Elizabeth therefore acquiesced, but she was filled with disquiet at the idea of my suffering, away from her, the inroads of misery and grief.","MWS"
"Add to all this shoes such as she had been known to wear upon the day of her disappearance, and, although these shoes may be 'sold in packages,' you so far augment the probability as to verge upon the certain.","EAP"
"Personally, we prefer ""Greeting"".","HPL"
"The average height of this vapor, as apparent from our station, was about twenty-five degrees.","EAP"
"Selecting that nearest to the pass, since our next flight would be across the great range and back to camp, we succeeded about 12:30 P.M. in coming down on a smooth, hard snowfield wholly devoid of obstacles and well adapted to a swift and favourable takeoff later on.","HPL"
"Then came a noxious rush of noisome, frigid air from that same dreaded direction, followed by a piercing shriek just beside me on that shocking rifted tomb of man and monster.","HPL"
"And the sailors sang strange songs of unknown places, and then stole off one by one to the forecastle while the wistful watchers murmured old chants and leaned over the rail to glimpse the luminous fish playing in bowers beneath the sea.","HPL"
"No two persons could be more opposite than Adrian and he.","MWS"
"My uncle, it seems, had quickly instituted a prodigiously far-flung body of inquiries amongst nearly all the friends whom he could question without impertinence, asking for nightly reports of their dreams, and the dates of any notable visions for some time past.","HPL"
"In front lay a small parterre, planted with box and other shrubs, but through this sacred division we passed only upon rare occasions indeed-such as a first advent to school or final departure thence, or perhaps, when a parent or friend having called for us, we joyfully took our way home for the Christmas or Midsummer holidays.","EAP"
"Our evening march, more calm, was yet more delightful than the morning restlessness of spirit.","MWS"
"He did not know where he wished to go, but felt that once more he would have to sacrifice his classes.","HPL"
"In regard to the depth of the water, I could not see how this could have been ascertained at all in the immediate vicinity of the vortex.","EAP"
"Cunwen continued to be avoided and distrusted, as indeed the one fact of his continued air of youth at a great age would have been enough to warrant; and he could see that in the end his fortunes would be likely to suffer.","HPL"
"I passed a night of unmingled wretchedness.","MWS"
"One night as I sat, half stupefied, in a den of more than infamy, my attention was suddenly drawn to some black object, reposing upon the head of one of the immense hogsheads of gin, or of rum, which constituted the chief furniture of the apartment.","EAP"
"Furtive, shambling creatures stared cryptically in my direction, and more normal faces eyed me coldly and curiously.","HPL"
"A closer scrutiny, however, satisfied me that it was intended for a kid.""","EAP"
"They penetrate into the recesses of nature, and shew how she works in her hiding places.","MWS"
"On our arrival in London, we found that the aged Countess of Windsor was residing with her son in the palace of the Protectorate; we repaired to our accustomed abode near Hyde Park.","MWS"
"He might remain in Switzerland, and wreak his vengeance on my relatives.","MWS"
"My search was utterly vain, yet I did not despond.","MWS"
"All these are equally ""American"" in every particular, differing only in race-stock and heritage; yet of them all, none save British Canada will even bear comparison with us.","HPL"
"If, indeed, the casting of large lenses were all that is required, man's ingenuity would ultimately prove equal to the task, and we might have them of any size demanded.","EAP"
"The number of papers expected in the near future has been increased by a plan of the Second Vice-President to unite the members of the Recruiting Committee in a co-operative editorial venture.","HPL"
"It would fray the serge of my robe-it would return and repeat its operations-again-and again.","EAP"
"It would be cumbrous to give a detailed, consecutive account of our wanderings inside that cavernous, aeon-dead honeycomb of primal masonry; that monstrous lair of elder secrets which now echoed for the first time, after uncounted epochs, to the tread of human feet.","HPL"
"How to account for such things in this place was frankly beyond me, and I felt queerly humbled as a geologist.","HPL"
"These voices, before 1766, were mere mumblings and negro whisperings and frenzied screams, coupled with curious chants or invocations.","HPL"
"The next January gossips were mildly interested in the fact that ""Lavinny's black brat"" had commenced to talk, and at the age of only eleven months.","HPL"
"Sometimes I entreated my attendants to assist me in the destruction of the fiend by whom I was tormented; and at others, I felt the fingers of the monster already grasping my neck, and screamed aloud with agony and terror.","MWS"
"""Pass your hand,"" I said, ""over the wall; you cannot help feeling the nitre.","EAP"
"He was oddly anxious to know if Birch were sure - absolutely sure - of the identity of that top coffin of the pile; how he had chosen it, how he had been certain of it as the Fenner coffin in the dusk, and how he had distinguished it from the inferior duplicate coffin of vicious Asaph Sawyer.","HPL"
"I strove to rise, but my heavy lids closed, my limbs over-wearied, claimed repose-I rested my head on the stone, I yielded to the grateful sensation of utter forgetfulness; and in that scene of desolation, on that night of despair-I slept.","MWS"
"In a subsequent number of the paper, an attempt was made to throw suspicion upon Beauvais himself.","EAP"
"The same individual submitted to me, without being at all aware of my intentions, a method of constructing balloons from the membrane of a certain animal, through which substance any escape of gas was nearly an impossibility.","EAP"
"The even caesural break so common to Alexandrines, and so often urged by critics as an objection against them, is here avoided with great ingenuity and good taste.","HPL"
"And the tomb where you put those bones, and the other grave without an inscription - the whole thing must be a bit terrible.""","HPL"
"To-morrow we will speak of this.","EAP"
"So high were they that one within might sometimes fancy himself beneath only the sky; yet when lighted with torches dipt in the oil of Dothur their walls shewed vast paintings of kings and armies, of a splendour at once inspiring and stupefying to the beholder.","HPL"
"As I did so there came to me the purest ecstasy I have ever known; for shining tranquilly through an ornate grating of iron, and down a short stone passageway of steps that ascended from the newly found doorway, was the radiant full moon, which I had never before seen save in dreams and in vague visions I dared not call memories.","HPL"
"The delightful biographical article which occupies the major portion of the current =Woodbee= is unsigned; but deserves particular praise, whoever the author may be.","HPL"
"I stood watching the scene, while Adrian flitted like a shadow in among them, and, by a word and look of sobriety, endeavoured to restore order in the assembly.","MWS"
"Upon the whole, whether happily or unhappily, he was thrown back, in very great measure, upon self.","EAP"
"The old Captain's ben dead these sixty years, and there ain't ben a good-sized ship out of the place since the Civil War; but just the same the Marshes still keep on buying a few of those native trade things - mostly glass and rubber gewgaws, they tell me.","HPL"
"I can fix it-here is a fifty on the Bank of North America-throw the book.""","EAP"
"Many females, for example, whose age could not have been less than seventy were bedecked with a profusion of jewelry, such as rings, bracelets, and earrings, and wore their bosoms and arms shamefully bare.","EAP"
"It was the steady, stealthy creaking of the stairs beyond the locked door, as with the ascent of a barefoot or skin-shod horde; and at last the cautious, purposeful rattling of the brass latch that glowed in the feeble candlelight.","HPL"
"With regard to myself, this came almost by inheritance.","MWS"
"Children, unadepts in language, seldom find words to express their thoughts, nor could we tell in what manner the late events had impressed themselves on her mind.","MWS"
"In the marble streets were marble pillars, the upper parts of which were carven into the images of grave bearded men.","HPL"
"Elizabeth was not incited to apply herself to drawing, that her companions might not outstrip her; but through the desire of pleasing her aunt, by the representation of some favourite scene done by her own hand.","MWS"
"I found myself faced by names and terms that I had heard elsewhere in the most hideous of connexions - Yuggoth, Great Cthulhu, Tsathoggua, Yog-Sothoth, R'lyeh, Nyarlathotep, Azathoth, Hastur, Yian, Leng, the Lake of Hall, Bethmoora, the Yellow Sign, L'mur-Kathulos, Bran, and the Magnum Innominandum - and was drawn back through nameless aeons and inconceivable dimensions to worlds of elder, outer entity at which the crazed author of the Necronomicon had only guessed in the vaguest way.","HPL"
"The poem contains that unmistakable stamp of genuine emotion which we have come to associate with Mr. Lockhart's work, and is technically faultless.","HPL"
"Her hair was of a rich, dark auburn, her complexion fair, and her figure slight and graceful.","MWS"
"I drew close and paused, and cast the added light of my electric torch over the tumbled pile.","HPL"
"To relieve this, Dr. Templeton resorted to topical bleeding.","EAP"
"I my self did not more than a Fortnight ago catch a very plain Discourse of evill Powers in the Hill behind my House; wherein there were a Rattling and Rolling, Groaning, Screeching, and Hissing, such as no Things of this Earth cou'd raise up, and which must needs have come from those Caves that only black Magick can discover, and only the Divell unlock.""","HPL"
"One of the buzzing voices, for example, held an unmistal<able note of authority; whilst the mechanical voice, notwithstanding its artificial loudness and regularity, seemed to be in a position of subordination and pleading.","HPL"
"I fill'd this cup to one made up Of loveliness alone, A woman, of her gentle sex The seeming paragon- Her health!","EAP"
"The prevailing intellectual and aesthetic life was highly evolved, and produced a tenaciously enduring set of customs and institutions which I shall describe more fully in my coming monograph.","HPL"
"So asking a farewell blessing of the priests and thinking shrewdly on his course, he boldly descended the seven hundred steps to the Gate of Deeper Slumber and set out through the enchanted wood.","HPL"
"He said he had noticed a man around the express office at Brattleboro when he had sent the phonograph record, whose actions and expression had been far from reassuring.","HPL"
"It was so old, he added, that no one now could be expected to recognise it.","HPL"
"Kill that fiend if you value the peace and comfort of the world.","HPL"
"As for the Quarterly cant about ""sustained effort,"" it is impossible to see the sense of it.","EAP"
"But the traveller, travelling through it, May not-dare not openly view it; Never its mysteries are exposed To the weak human eye unclosed; So wills its King, who hath forbid The uplifting of the fringed lid; And thus the sad Soul that here passes Beholds it but through darkened glasses.","EAP"
"The whole house, as I have said, had a musty odour; but the smell in his room was worse - and in spite of all the spices and incense, and the pungent chemicals of the now incessant baths which he insisted on taking unaided.","HPL"
"My father, who was watching over me, perceiving my restlessness, awoke me, and pointed to the port of Holyhead, which we were now entering.","MWS"
"""This,"" I thought, ""is power!","MWS"
"As he fell the whole party rushed upon him to secure their victim, leaving me time to recover from my astonishment.","EAP"
"Over the countryside and amidst the splendour of cities can move at will the happy folk, of whom all are gifted with unmarred grace and unalloyed happiness.","HPL"
"You may hint at buck-wheat cake, or you may even go so far as to insinuate oat-meal porridge, but if bread and butter be your real meaning, be cautious, my dear Miss Psyche, not on any account to say 'bread and butter!'""","EAP"
"But she will be tried to-day, and you will then hear all.""","MWS"
"Examining one day the reserve specimens roughly set on the storage shelves in a rear room of the museum, my eye was caught by an odd picture in one of the old papers spread beneath the stones.","HPL"
"Nay, then I was not miserable.","MWS"
"Almost spent, as I was, by fatigue and the dreadful suspense I endured for several hours, this sudden certainty of life rushed like a flood of warm joy to my heart, and tears gushed from my eyes.","MWS"
"He was deficient, however, in energy, and, consequently, in that spirit of enterprise which is here so absolutely requisite.","EAP"
"""Safie related, that her mother was a Christian Arab, seized and made a slave by the Turks; recommended by her beauty, she had won the heart of the father of Safie, who married her.","MWS"
"""Obedience to the will of the Most High, made manifest to these his Elected People.","MWS"
"There dwelt in that ghastly and flexible face, as it shone bodiless, luminous, and rejuvenated in the blackness, more of stark, teeming, brain-shattering fear than all the rest of heaven and earth has ever revealed to me.","HPL"
"What was my astonishment in discovering it to be in a state of absolute putrefaction!","EAP"
"Then, very softly and slowly, the acre-great panel began to give inward at the top; and they saw that it was balanced.","HPL"
"The old man, I could perceive, often endeavoured to encourage his children, as sometimes I found that he called them, to cast off their melancholy.","MWS"
"The fact in question is indeed the basis of the Eye-Sore trade.","EAP"
"But for a long time I exerted myself in vain.","EAP"
"Near sunset he came on a new camp of lava-gatherers returning with laden sacks from Ngranek's lower slopes; and here he also camped, listening to the songs and tales of the men, and overhearing what they whispered about a companion they had lost.","HPL"
"I heard, yet was able only to repeat my frantic questions.","HPL"
"But in time there came troubles, and the peasants ceased to bless him, and fled away instead as from a doom.","HPL"
"Attentively perusing this animated volume, I was the less surprised at the tale I read on the new-turned page.","MWS"
"The best short stories of the year are probably those by M. Almedia Bretholl and Eleanor Barnhart; the others are mainly juvenile work.","HPL"
"Sometimes she remembered that she had suffered keen anguish, when he hesitated in his choice.","MWS"
"Nxne xf yxur crxwing, xld cxck!","EAP"
"The Greeks at all events were right, he thought, who employed the same words for the mind and the diaphragm.","EAP"
"They walk serene and primal, undimensioned and to us unseen.","HPL"
"I saw the sun peering redly through the last gusts of a little sandstorm that hovered over the nameless city, and marked the quietness of the rest of the landscape.","HPL"
"I asked, it is true, for greater treasures than a little food or rest; I required kindness and sympathy; but I did not believe myself utterly unworthy of it.","MWS"
"Yet it might be conjectured that they had not forgotten their ancient heritage; and it was hard that his heir should suffer alike with any other pretender, if he attempted to regain what by ancient right and inheritance belonged to him.","MWS"
"""-and thrust at me a large, closely written paper impaled on the end of a long pencil.","HPL"
"The sky was dark on the evening that the Tyrant's emissaries came to Tegea.","HPL"
"Idris could not refrain from a smile, as she listened; she had already gathered from him that his family was alive and in health; though not apt to forget the precipice of time on which she stood, yet I could perceive that she was amused for a moment, by the contrast between the contracted view we had so long taken of human life, and the seven league strides with which Merrival paced a coming eternity.","MWS"
"Balbutius, however, had protested, so that more correspondence had ensued.","HPL"
"As no resistance, beyond whooping and yelling and cock-a-doodling, was offered to the encroachments of the party without, the ten windows were very speedily, and almost simultaneously, broken in.","EAP"
"So far, I had not succeeded in the sole object of my desires, the finding a companion for my desolation.","MWS"
"Moved by a gratitude and satisfaction beyond words.","HPL"
"""How much was the reward offered, did you say?""","EAP"
"The loungers reflected, thinking of the door and runway, and of the cattle that so swiftly disappeared.","HPL"
"We had hardly more than turned, however, when there descended such a blinding sheet of torrential rain that shelter became imperative.","HPL"
"It is also certain that he is at present ensconced in the hide of a beast, and is doing his best to play the part of a cameleopard; but this is done for the better sustaining his dignity as king.","EAP"
"I was beyond all coherent thought.","HPL"
"Again groping toward tlie street, I opened a door off tlie liall and came upon an empty room with closely shuttered but sashless windows.","HPL"
"He has been afflicted with a peculiar disease, as you must realise from the subtle physical as well as mental changes in him, and you must not hope to see him again.","HPL"
"So now I am to end it all, having written a full account for the information or the contemptuous amusement of my fellow-men.","HPL"
"For the sixth time they had all overslept, waking very slowly and dazedly, and acting as if they had not rested, although they were known to have gone early to bed the night before.","HPL"
"As I strained to decipher this inscription my notice was distracted by the raucous tones of a cracked bell across the street, and I quickly turned to look out the window on my side of the coach.","HPL"
"Hast thou a crucifix fit for this thing?","EAP"
"You can't imagine the degree to which those beings have carried science.","HPL"
"said the daemon; ""do you think that I was then dead to agony and remorse?-He,"" he continued, pointing to the corpse, ""he suffered not more in the consummation of the deed;-oh!","MWS"
"At first it was but a path trodden by bearers of water from the woodland spring to the cluster of houses by the beach.","HPL"
"The men, busy with labour, waxed prosperous and as happy as they knew how to be.","HPL"
"For out of an opened door in the Oilman House a large crowd of doubtful shapes was pouring - lanterns bobbing in the darkness, and horrible croaking voices exchanging low cries in what was certainly not English.","HPL"
"There's a mirror up at the other end of the room, and I'm going to take you to it.","HPL"
"The great house was very still, for I had not gone up till after midnight.","HPL"
"Some of them were full, and none can say how deep they had once been.","HPL"
"The handkerchief bore the name ""Marie Rogêt.""","EAP"
"His task proved a vent for his emotion, and he toiled more steadily each day, shunning the gaieties he once had relished.","HPL"
"I saw but them-they were the world to me!","EAP"
"I will watch with the wiliness of a snake, that I may sting with its venom.","MWS"
"There were multiple levels of black vaults below, and never-opened trap-doors, sealed down with metal bands and holding dim suggestions of some special peril.","HPL"
"And then, again, the frog-man croaked away as if the salvation of his soul depended upon every note that he uttered.","EAP"
"The sound presently grew less distinct, then again less so, and still less.","EAP"
"He confessed in an accompanying note that he was beginning to be afraid of those roads, and that he would not even go into Townshend for supplies now except in broad daylight.","HPL"
"They had found Paris a desert.","MWS"
"Some accident prevented my attending these lectures until the course was nearly finished.","MWS"
"I told him of the business of the evening, and a smile relaxed the contracted muscles.","MWS"
"What they finally found inside Edward's oddly assorted clothes was mostly liquescent horror.","HPL"
"This, I reflected, must be the Joe Sargent mentioned by the ticket-agent; and even before I noticed any details there spread over me a wave of spontaneous aversion which could be neither checked nor explained.","HPL"
"Of this stratification the savages had availed themselves to accomplish their treacherous ends.","EAP"
"Yet our spirits flagged, as the day drew near which we had fixed for our departure.","MWS"
"They walked and stumbled as in a dream, and did not dare look back till they were far away on the high ground.","HPL"
"NOTE THE circumstances connected with the late sudden and distressing death of Mr. Pym are already well known to the public through the medium of the daily press.","EAP"
"He entrusted to her keeping the treasures of his soul, his aspirations after excellence, and his plans for the improvement of mankind.","MWS"
"I took it because of the queer old brick well in the cellar - one of the sort I told you about.","HPL"
"The whole country around us seemed to be swarming with savages, crowds of whom, we now perceived, had come over from the islands to the southward on flat rafts, doubtless with a view of lending their aid in the capture and plunder of the Jane.","EAP"
"The republican institutions of our country have produced simpler and happier manners than those which prevail in the great monarchies that surround it.","MWS"
"Ex Oblivione WARD PHILLIPS When the last days were upon me, and the ugly trifles of existence began to drive me to madness like the small drops of water that torturers let fall ceaselessly upon one spot of their victim's body, I loved the irradiate refuge of sleep.","HPL"
"I'm not sure that I could find it again myself - not that I'd ever try, even in broad daylight!","HPL"
"All about him was a stifling odour of nether gulfs, and he felt that the air of these choking depths was not made for mankind.","HPL"
"By this time his pulse was imperceptible and his breathing was stertorous, and at intervals of half a minute.","EAP"
"Sargent was sorry, but I would have to stop over at the Oilman.","HPL"
"The door was opened with difficulty.","EAP"
"Memory brought madness with it; and when I thought on what had passed, a real insanity possessed me; sometimes I was furious, and burnt with rage, sometimes low and despondent.","MWS"
"She says the hired boy Luther was aout drivin' in the caows from the storm arter the big bolt, when he see all the trees a-bendin' at the maouth o' the glen--opposite side ter this--an' smelt the same awful smell like he smelt when he faound the big tracks las' Monday mornin'.","HPL"
"On the other hand, I was not aware that, in any recorded ascension, a diminution was apparent in the absolute rate of ascent; although such should have been the case, if on account of nothing else, on account of the escape of gas through balloons ill-constructed, and varnished with no better material than the ordinary varnish.","EAP"
"Denizens of some planets might be able to live on certain others - even planets belonging to other galaxies, or to similar-dimensional phases of other space-time continua - though of course there must be vast numbers of mutually uninhabitable even though mathematically juxtaposed bodies or zones of space.","HPL"
"Of the date of this origin, however, I grieve that I can only speak with that species of indefinite definiteness which mathematicians are, at times, forced to put up with in certain algebraic formulae.","EAP"
"On the next morning - September 6th - still another came; this time a frantic scrawl which utterly unnerved me and put me at a loss what to say or do next.","HPL"
"I compared her placid epistles with the burning ones of Adrian.","MWS"
"By slow degrees however we were drawn to the real interest of the scene.","MWS"
"The legend here seemed to present three variants.","HPL"
"About the refinements, or, as he called them, the ""ghost"" of wit, the king troubled himself very little.","EAP"
"A vigor apparent only when we keep in mind the artless character of the speaker and the four feet of the favorite, one for each wind.","EAP"
"""Not so,"" said I, ""though I confess that my thoughts are not occupied as pleasantly as yours are.","MWS"
"I had seen Lord Raymond ride through his lines; his look of victory, and majestic mien obtained the respect and obedience of all: such was not the appearance or influence of Adrian.","MWS"
"I now have it again, or am coming very imperfectly to have a part of it.","HPL"
"Yet since, now a week ago, they came on me, as I stood on the height of St. Peter's, they have ruled my imagination.","MWS"
"and Tyler M. Freeborn of the department of anthropology - ^together with my son Wingate - accompanied me.","HPL"
"We believe that the correct pronunciation of =cabaret= is trisyllabic, with the accent on the final syllable, thus: ""=cab-a-ray=.""","HPL"
"But as leaving time obviously approached I conquered my qualms and followed the man aboard, extending him a dollar bill and murmuring the single word ""Innsmouth"".","HPL"
"He thought it extravagant to play upon wind instruments.","EAP"
"The next day we pursued our journey upon mules; and as we ascended still higher, the valley assumed a more magnificent and astonishing character.","MWS"
"My father slept in the cabin; and I lay on the deck, looking at the stars, and listening to the dashing of the waves.","MWS"
"That the newspapers which were stuck all over the little balloon were newspapers of Holland, and therefore could not have been made in the moon.","EAP"
"But he had never returned to his paper.","HPL"
"I had arrived at that well-known portion of the story where Ethelred, the hero of the Trist, having sought in vain for peaceable admission into the dwelling of the hermit, proceeds to make good an entrance by force.","EAP"
"Criticism is well represented by Leo Fritter, Edna M. Haughton, Mrs. J. W. Renshaw, and Rheinhart Kleiner.","HPL"
"The wound, and consequent inability of Argyropylo, caused Raymond to be the first in command.","MWS"
"I had been calm during the day; but so soon as night obscured the shapes of objects, a thousand fears arose in my mind.","MWS"
"Then the trees thinned, and far below him on his right he saw the hills and antique roofs and spires of Kingsport.","HPL"
"In the fourth stanza ""=head="" should read ""=heard="".","HPL"
"He instanced the ecstasies of the fox-hunter, and pointed to the tillers of the earth, the only people who, as a class, can be fairly considered happier than others.","EAP"
"THE MASQUE OF THE RED DEATH.","EAP"
"I got de lef eye now-here de lef eye!","EAP"
"""The days now passed as peaceably as before, with the sole alteration, that joy had taken place of sadness in the countenances of my friends.","MWS"
"Does not Lord Bacon say that, 'the falling from a discord to a concord, which maketh great sweetness in music, hath an agreement with the affections, which are re-integrated to the better after some dislikes?'","MWS"
"As for instance, a typhus fever has been brought by ships to one sea-port town; yet the very people who brought it there, were incapable of communicating it in a town more fortunately situated.","MWS"
"Every where I see bliss, from which I alone am irrevocably excluded.","MWS"
